,crop_height,crop_width,epochs,height,hf,hl,image,is_cropped,lr,quantization_technique,seed,using_quantization,width
138,256,256,100000,512,10,5,cameramen,True,0.0001,,123,False,512
139,256,256,100000,512,10,5,cameramen,True,0.0001,,1234,False,512
140,256,256,100000,512,10,6,cameramen,True,0.0001,,0,False,512
141,256,256,100000,512,10,6,cameramen,True,0.0001,,42,False,512
142,256,256,100000,512,10,6,cameramen,True,0.0001,,101,False,512
143,256,256,100000,512,10,6,cameramen,True,0.0001,,123,False,512
144,256,256,100000,512,10,6,cameramen,True,0.0001,,1234,False,512
145,256,256,100000,512,10,7,cameramen,True,0.0001,,0,False,512
146,256,256,100000,512,10,7,cameramen,True,0.0001,,42,False,512
147,256,256,100000,512,10,7,cameramen,True,0.0001,,101,False,512
148,256,256,100000,512,10,7,cameramen,True,0.0001,,123,False,512
149,256,256,100000,512,10,7,cameramen,True,0.0001,,1234,False,512
150,256,256,100000,512,10,8,cameramen,True,0.0001,,0,False,512
151,256,256,100000,512,10,8,cameramen,True,0.0001,,42,False,512
152,256,256,100000,512,10,8,cameramen,True,0.0001,,101,False,512
153,256,256,100000,512,10,8,cameramen,True,0.0001,,123,False,512
154,256,256,100000,512,10,8,cameramen,True,0.0001,,1234,False,512
155,256,256,100000,512,10,9,cameramen,True,0.0001,,0,False,512
156,256,256,100000,512,10,9,cameramen,True,0.0001,,42,False,512
157,256,256,100000,512,10,9,cameramen,True,0.0001,,101,False,512
158,256,256,100000,512,10,9,cameramen,True,0.0001,,123,False,512
159,256,256,100000,512,10,9,cameramen,True,0.0001,,1234,False,512
160,256,256,100000,512,10,10,cameramen,True,0.0001,,0,False,512
161,256,256,100000,512,10,10,cameramen,True,0.0001,,42,False,512
162,256,256,100000,512,10,10,cameramen,True,0.0001,,101,False,512
163,256,256,100000,512,10,10,cameramen,True,0.0001,,123,False,512
164,256,256,100000,512,10,10,cameramen,True,0.0001,,1234,False,512
165,256,256,100000,512,10,11,cameramen,True,0.0001,,0,False,512
166,256,256,100000,512,10,11,cameramen,True,0.0001,,42,False,512
167,256,256,100000,512,10,11,cameramen,True,0.0001,,101,False,512
168,256,256,100000,512,10,11,cameramen,True,0.0001,,123,False,512
169,256,256,100000,512,10,11,cameramen,True,0.0001,,1234,False,512
170,256,256,100000,512,10,12,cameramen,True,0.0001,,0,False,512
171,256,256,100000,512,10,12,cameramen,True,0.0001,,42,False,512
172,256,256,100000,512,10,12,cameramen,True,0.0001,,101,False,512
173,256,256,100000,512,10,12,cameramen,True,0.0001,,123,False,512
174,256,256,100000,512,10,12,cameramen,True,0.0001,,1234,False,512
175,256,256,100000,512,10,13,cameramen,True,0.0001,,0,False,512
176,256,256,100000,512,10,13,cameramen,True,0.0001,,42,False,512
177,256,256,100000,512,10,13,cameramen,True,0.0001,,101,False,512
178,256,256,100000,512,10,13,cameramen,True,0.0001,,123,False,512
179,256,256,100000,512,10,13,cameramen,True,0.0001,,1234,False,512
180,256,256,100000,512,11,2,cameramen,True,0.0001,,0,False,512
181,256,256,100000,512,11,2,cameramen,True,0.0001,,42,False,512
182,256,256,100000,512,11,2,cameramen,True,0.0001,,101,False,512
183,256,256,100000,512,11,2,cameramen,True,0.0001,,123,False,512
184,256,256,100000,512,11,2,cameramen,True,0.0001,,1234,False,512
185,256,256,100000,512,11,3,cameramen,True,0.0001,,0,False,512
186,256,256,100000,512,11,3,cameramen,True,0.0001,,42,False,512
187,256,256,100000,512,11,3,cameramen,True,0.0001,,101,False,512
188,256,256,100000,512,11,3,cameramen,True,0.0001,,123,False,512
