,width,height,crop_width,crop_heigth,name,quality,bpp,mse_score,psnr_score,ssim_score,cr_score,is_cropped
45,321,481,256,256,test021,92,2.2395191740986133,5.570220947265625,40.672079387148024,0.9897969186089819,0.5519957810079436,True
46,481,321,256,256,test006,92,0.8205128205128205,1.660247802734375,45.92907446726471,0.9920399920670528,0.45809511434511435,True
47,481,321,256,256,test048,92,1.478591459899871,4.3569488525390625,41.73897899208592,0.9936663556978997,0.5504290285049447,True
48,481,321,256,256,test035,92,1.6187459925777683,5.7653656005859375,40.52253508338212,0.9901331873590895,0.5232793522267206,True
49,321,481,256,256,test038,92,1.4737210251228943,3.4814910888671875,42.713150729635956,0.990506946105471,0.5108331566673733,True
50,481,321,256,256,test013,92,1.3233074915317906,2.6245574951171875,43.94024269746366,0.9935961492902796,0.5051536687532358,True
51,481,321,256,256,test052,92,0.9160562431590469,2.57098388671875,44.0298100609633,0.9892624102022871,0.46098200045568466,True
52,321,481,256,256,test055,92,1.8868789709911205,5.6279144287109375,40.62732875413869,0.9891070453672989,0.5331932212436616,True
53,321,481,256,256,test062,92,0.8823777048076114,2.0093536376953125,45.100239834108976,0.9932003537731914,0.5057546145494028,True
54,481,321,256,256,test009,92,1.3865195173606388,4.168121337890625,41.931400076759346,0.9926616347159233,0.5275375686997963,True
55,481,321,256,256,test050,92,1.8072421810739567,6.312255859375,40.12895766727596,0.9888539119346006,0.5205432937181664,True
56,481,321,256,256,test040,92,1.4644464737922682,4.033935546875,42.0735140597484,0.9866765120187216,0.5027009594452955,True
57,481,321,256,256,test059,92,1.1769353825428592,4.029144287109375,42.07867540743521,0.9825498350967254,0.45338553661906955,True
58,481,321,256,256,test063,92,1.961386260451681,4.2476654052734375,41.84930061449515,0.9943497861505863,0.5446662419480428,True
59,481,321,256,256,test066,92,0.44471214564672507,0.9644775390625,48.287882427032464,0.9930967008641634,0.415324872134874,True
60,481,321,256,256,test017,92,0.804813440327459,1.4889068603515625,46.40212829872301,0.9920946384143209,0.4648302646720368,True
61,481,321,256,256,test004,92,1.1618059468526758,1.9959564208984375,45.1292930606583,0.9937935405094914,0.5226157175278409,True
62,321,481,256,256,test002,92,1.125744004248677,4.6422576904296875,41.46351116513317,0.9905205126540078,0.526614703693549,True
63,481,321,256,256,test046,92,2.142887675597956,6.280853271484375,40.15061713002605,0.9886286781074769,0.5484842951059167,True
64,481,321,256,256,test065,92,1.392529841127972,4.3105621337890625,41.78546451337439,0.9920330782597895,0.5209656925031766,True
65,321,481,256,256,test031,92,2.6665112272588907,8.419631958007812,38.87787252990556,0.9939416452108484,0.5810652428701654,True
66,321,481,256,256,test034,92,0.8882325891671686,2.541748046875,44.079478623584095,0.9870425714670914,0.45702823638327417,True
67,321,481,256,256,test003,92,1.1860026813297841,4.79058837890625,41.326915042342314,0.9910192525636162,0.5214036376997979,True
68,481,321,256,256,test018,92,0.7921192220257641,2.3876190185546875,44.35115331266275,0.9913428945676748,0.47611350574712646,True
69,321,481,256,256,test064,92,1.9322154649257453,7.0609283447265625,39.64218556630992,0.9891554367545319,0.5256283883686546,True
